County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Kleberg County, Texas",41.32,36.8,13.79,50.08,36.55
"Nemaha County, Kansas",41.31,40.93,53.49,53.76,41.23
"Suffolk County, Massachusetts",41.28,46.08,44.96,26.18,63.73
"Westchester County, New York",41.08,45.89,50.86,48.91,49.53
"Elk County, Pennsylvania",40.9,70.36,64.64,54.42,54.27
"Norfolk County, Massachusetts",40.89,52.97,58.58,54.67,50.14
"Providence County, Rhode Island",40.78,44.04,52.11,71.04,70.53
"Gonzales County, Texas",40.6,15.87,21.13,23.67,22.54
"Jones County, South Dakota",40.57,4.57,10.14,12.46,6.84
"Torrance County, New Mexico",40.34,24.75,58.79,18.38,26.47
"Dunn County, North Dakota",40.32,67.28,51.75,18.75,32.63
"Nueces County, Texas",40.24,32.83,27.54,42.08,25.42
"Franklin County, New York",40.03,35.73,53.66,55.87,64.83
"Luna County, New Mexico",39.94,25.2,21.58,37.55,17.97
"Vermilion Parish, Louisiana",39.88,55.62,88.95,73.22,55.16
"Gloucester County, New Jersey",39.88,26.09,37.27,30.01,29.12
"Benson County, North Dakota",39.86,54.62,79.16,66.48,40.52
"Rosebud County, Montana",39.82,27.87,18.55,26.04,26.04
"Holt County, Nebraska",39.72,29.17,32.55,37.65,38.08
"Bergen County, New Jersey",39.6,47.51,54.15,55.24,53.44
"Butler County, Nebraska",39.54,43.53,35.62,62.02,47.23
"Middlesex County, Massachusetts",39.34,47.78,54.18,53.99,63.18
"Colorado County, Texas",39.06,31.34,33,63.28,31.87
"Sandoval County, New Mexico",39.05,30.43,37.53,30.44,59.48
"Castro County, Texas",39.02,28.8,26.9,54.95,28.42
"Colusa County, California",39.01,42.81,17.31,18,14.46
"Quay County, New Mexico",38.73,38.82,30.98,31.09,33.19
"Walsh County, North Dakota",38.6,29.86,42.72,39.76,22.97
"Cochran County, Texas",38.59,19.86,15.15,22.85,18.65
"Camden County, New Jersey",38.16,35.11,35.52,37.16,37.7
"San Patricio County, Texas",38.06,32.44,30.78,47.93,33.17
"Marshall County, Kansas",38.04,20.48,29.98,35.98,27.5
"Gregory County, South Dakota",38.01,25.92,25.75,21.44,19.27
"Cibola County, New Mexico",37.93,33.07,44.66,37.1,
"Washington County, Rhode Island",37.91,35.74,47.49,29.04,32.26
"Howard County, Iowa",37.75,41.08,51.44,51.86,52.85
"Fairfax city, Virginia",37.65,44.11,51.21,,
"Nance County, Nebraska",37.63,34.14,33.48,39.88,39.22
"Howard County, Nebraska",37.58,23.38,36.88,31.11,27.23
"Pointe Coupee Parish, Louisiana",37.57,47.4,48.8,71.49,55.15
"Kendall County, Texas",37.45,17.9,24.01,24.26,17.87
"Culberson County, Texas",37.34,39.62,47.39,51.36,60.33
