County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Boulder County, Colorado",0.69,0.79,4.53,2.43,0
"Cabell County, West Virginia",0.68,0.32,0.13,0.19,0.43
"Knox County, Maine",0.66,,0.76,0.3,0
"Onondaga County, New York",0.65,0.87,1.96,1.36,0.65
"King County, Washington",0.65,0.77,1.87,1.46,0.4
"San Mateo County, California",0.65,0.81,3.46,6.39,0.31
"Hampden County, Massachusetts",0.64,0.85,2.32,1.94,0.48
"Oneida County, New York",0.64,0.31,0.51,0.74,0.37
"Johnson County, Iowa",0.64,0.38,1.17,1.25,0.1
"Franklin County, Ohio",0.64,0.85,1.46,1.09,0.04
"New London County, Connecticut",0.63,0.81,1.58,1.79,0.4
"Charleston County, South Carolina",0.63,0.66,1.61,0.9,0.33
"Santa Clara County, California",0.63,0.68,3.21,2.14,0.19
"Hunterdon County, New Jersey",0.63,0.34,1.23,0.84,0.14
"Davidson County, Tennessee",0.62,0.25,1.05,0.57,0.44
"Cumberland County, Maine",0.62,0.72,2.26,1.6,0.18
"Worcester County, Maryland",0.61,0.72,0.21,0.29,0
"Broome County, New York",0.6,0.94,1.2,1.13,0.43
"Dallas County, Texas",0.59,0.72,1.72,1.33,0.51
"Barnstable County, Massachusetts",0.59,0.78,1.46,1.55,0.44
"Windham County, Vermont",0.59,0.63,0.81,0.36,0
"Douglas County, Nebraska",0.58,0.73,1.37,1.05,0.52
"Middlesex County, Connecticut",0.57,0.64,1.81,1.94,0.29
"Santa Cruz County, California",0.57,0.52,2.35,0.52,0.26
"Warren County, New York",0.55,0.78,1.26,0.68,0.85
"Ulster County, New York",0.55,0.75,3.32,2.72,0.59
"Jefferson Parish, Louisiana",0.55,0.57,0.61,0.97,0.33
"Sagadahoc County, Maine",0.52,,0.21,2.39,0
"New Castle County, Delaware",0.5,0.69,2.38,2,0.33
"Hudson County, New Jersey",0.5,0.6,2.05,2.88,0.31
"Greene County, New York",0.5,0.44,0.41,1.84,0.29
"Alameda County, California",0.5,0.61,2.25,2.38,0.26
"Santa Barbara County, California",0.5,0.52,1.93,1.11,0.24
