County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Ohio County, Kentucky",58.77,53.44,58.33,66,56.66
"Pontotoc County, Mississippi",58.76,58.1,59.66,67.68,57.75
"Love County, Oklahoma",58.75,67.77,63.42,67.46,58.24
"Chickasaw County, Mississippi",58.53,73.03,42.1,41.81,39.36
"Livingston County, Kentucky",58.35,47.47,58.51,59.42,50.67
"Lamar County, Alabama",58.27,61.12,59.35,61.34,36.05
"Franklin County, Mississippi",58.12,56.32,56.89,65.36,55.36
"Anderson County, South Carolina",58.06,52.29,46.68,49.84,46.75
"Garvin County, Oklahoma",58.05,61.12,70.81,66.24,57.29
"Logan County, Arkansas",57.82,65.28,52.25,46.79,42.44
"San Saba County, Texas",57.68,48,50.4,60.1,47.58
"Gregg County, Texas",57.53,52.91,49.6,53.95,40.3
"Jones County, Mississippi",57.37,52.17,56.9,59.6,52.46
"De Baca County, New Mexico",57.36,48.32,39.46,42.36,34.68
"Dodge County, Georgia",57.13,56.79,60.87,60.64,57.66
"Marion County, Mississippi",57.05,54.78,58.78,62.4,47.63
"Pierce County, Georgia",56.87,53.66,52.97,48.33,47.58
"White County, Illinois",56.86,36.39,41.52,41.72,40.98
"Graves County, Kentucky",56.7,61.15,59.4,64.32,59.48
"McMinn County, Tennessee",56.68,60.85,59.51,65.38,63.05
"Wayne County, Georgia",56.64,56.31,49.34,53.96,43.93
"Calhoun County, Alabama",56.62,56.98,54.31,49.77,41.77
"Lincoln County, Mississippi",56.59,64.11,64.83,71.88,59.99
"Hamblen County, Tennessee",56.45,52.44,50.01,51.23,45.35
"Grundy County, Missouri",56.39,62.54,48.36,59.84,48.93
"Mathews County, Virginia",56.36,27.79,17.66,19.06,18.9
"Walker County, Alabama",56.31,58.37,54.31,55.92,50.22
"Wayne County, Kentucky",56.27,58.35,55.82,71.5,50.98
"Logan County, Kentucky",56.26,54.82,57.7,62.12,59.55
"Turner County, Georgia",56.18,66.83,50.58,63.55,48.01
"Sabine Parish, Louisiana",55.93,53.79,51.67,54.23,44.02
"McLean County, Kentucky",55.89,50.5,44.93,45.75,41.02
