County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Sunflower County, Mississippi",11.81,7.31,,20.94,0.66
"Perry County, Alabama",11.75,17.6,1.64,46.04,9.71
"Bolivar County, Mississippi",11.71,9.68,,20.91,0
"DeKalb County, Georgia",11.68,3.94,,5.07,0
"Miller County, Georgia",11.67,,,16.16,0
"Jasper County, Georgia",11.63,6.25,,20.7,13.99
"Itawamba County, Mississippi",11.5,2.85,,1.99,2.29
"Davidson County, Tennessee",11.45,7.25,0.6,9.48,1.83
"Liberty County, Georgia",11.36,1.86,,16.01,0
"Webster Parish, Louisiana",11.24,10.01,,8.98,7.62
"Hot Spring County, Arkansas",11.23,4.57,,3.81,0.44
"Faulkner County, Arkansas",11.11,0.66,,3.19,0.23
"Treutlen County, Georgia",11.01,15.35,,19.64,0
"Fayette County, Tennessee",11,5.78,,1.01,32.38
"Hardeman County, Tennessee",10.94,9.72,,9.29,8.54
"Lee County, Arkansas",10.93,6.25,,26.29,1.78
"Pike County, Mississippi",10.92,7.29,,14.86,0.31
"Claiborne Parish, Louisiana",10.81,14.14,,18.09,18.33
"Scotland County, North Carolina",10.71,5.55,,25,14.44
"Warren County, Mississippi",10.71,8.45,,12.42,0
"Choctaw County, Alabama",10.61,19.01,0,33.83,18.64
"Muscogee County, Georgia",10.61,9.53,,11.61,3.16
"Orleans Parish, Louisiana",10.53,6.49,,16.12,0.41
"Greene County, Alabama",10.5,9.47,0.49,57.44,22.6
"Orangeburg County, South Carolina",10.47,10.16,,18.24,0
"Marion County, Mississippi",10.45,4.19,,9.64,2.34
"Ware County, Georgia",10.44,7.22,,9.9,0.67
"District of Columbia, District of Columbia",10.42,8.41,,23.46,7.31
"Galax city, Virginia",10.42,,,,
"Wayne County, Michigan",10.41,6.83,0.01,12.37,1.75
"Conway County, Arkansas",10.37,4.1,,4.56,0
"Clinch County, Georgia",10.34,3.72,,16.36,0
"Tipton County, Tennessee",10.32,5.23,,3.21,10.42
"Henry County, Alabama",10.28,7.32,,18.05,0
"Prince George's County, Maryland",10.27,5.67,,11.05,0.23
"Quitman County, Georgia",10.2,21.33,,29.2,0
"Charleston County, South Carolina",10.02,10.72,,9.55,0.35
"Baltimore city, Maryland",9.99,8.55,,12.48,0.87
"Leon County, Texas",9.95,3.67,,4.18,0
"Angelina County, Texas",9.94,2.01,,5.25,1.77
"Hampton County, South Carolina",9.9,10.3,,24.77,8.28
"Jefferson County, Texas",9.8,8.91,,9.36,0
"Dougherty County, Georgia",9.78,5.9,,15.36,1.12
"Taliaferro County, Georgia",9.75,10.19,,35.98,7.68
"Stone County, Arkansas",9.71,,,,
